tone	duration	order1	voice	order2	tonx	tony	abs.tone	rel.tone	tonx_m1	tony_m1	abs.tone_m1	rel.tone_m1	tonx_m2	tony_m2	abs.tone_m2	rel.tone_m2	tonx_p1	tony_p1	abs.tone_p1	rel.tone_p1	tonx_p2	tony_p2	abs.tone_p2	rel.tone_p2
C5	4	28	strings_v1	72	4	12	40	3	4	12	40	3	4	12	40	3	1	13	42	5	1	13	42	5
D5	2	30	strings_v1	77	1	13	42	5	4	12	40	3	4	12	40	3	1	13	42	5	4	12	40	3
D5	2	30	strings_v1	78	1	13	42	5	1	13	42	5	4	12	40	3	4	12	40	3	4	12	40	3
C5	2	31	strings_v1	79	4	12	40	3	1	13	42	5	1	13	42	5	4	12	40	3	4	12	40	3
C5	2	31	strings_v1	80	4	12	40	3	4	12	40	3	1	13	42	5	4	12	40	3	4	12	40	3
C5	4	33	strings_v1	81	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3
C5	4	33	strings_v1	82	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3
C5	4	33	strings_v1	83	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3	1	13	42	5
C5	4	33	strings_v1	84	4	12	40	3	4	12	40	3	4	12	40	3	1	13	42	5	1	13	42	5
D5	2	34	strings_v1	85	1	13	42	5	4	12	40	3	4	12	40	3	1	13	42	5	4	12	40	3
D5	2	34	strings_v1	86	1	13	42	5	1	13	42	5	4	12	40	3	4	12	40	3	4	12	40	3
C5	2	35	strings_v1	87	4	12	40	3	1	13	42	5	1	13	42	5	4	12	40	3	4	12	40	3
C5	2	35	strings_v1	88	4	12	40	3	4	12	40	3	1	13	42	5	4	12	40	3	4	12	40	3
C5	4	36	strings_v1	89	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3
C5	4	36	strings_v1	90	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3
C5	4	36	strings_v1	91	4	12	40	3	4	12	40	3	4	12	40	3	4	12	40	3	1	13	42	5
C5	4	36	strings_v1	92	4	12	40	3	4	12	40	3	4	12	40	3	1	13	42	5	1	13	42	5
D5	2	37	strings_v1	93	1	13	42	5	4	12	40	3	4	12	40	3	1	13	42	5	4	12	40	3
